足	口: mouth	leg	Captain Ahab lost his leg to the great white whale´s mouth and had to mend it with a peg leg.	I´ll use my mouth to mend your leg, I´ll kiss it all better :).
見	目: eye; class; look; insight; experience; care; favor	see	As a primitive, this is Mike Wazowski from Monsters Inc. (the giant eyeball with legs...) Makes for easy stories later on.	Eyes and legs are all you need to see the world.
音	立: stand up; rise; set up; erect<br>日: day; sun; Japan; counter for days	sound	If you were standing on the sun, believe me, you´d be making sound.	The tongue wagging in a mouth produces a very high-pitched sound, breaking a nearby vase.
力	力: power, force, katakana ka radical (no. 19)	power	"I always refer to the power of the KATAKANA ""KA""."	I have a very powerful muscle カ in my driveway!
気	气: spirit; steam radical (no. 84)<br>乂: mow; cut grass; subdue	spirit	You´re reclining on the floor trying to hook a sheaf with a small hook through the cracks. That you´ve been doing this for seven hours without success shows your burning spirit.	Captain Hook, his spirit crushed, is lying on the ground cursing Wolverine who has defeated him with his far superior claws.
円	冂: upside-down box radical (no. 13)	circle	The shape of a Yen coin.	"A poor old man is almost killing himself trying to lift a huge glass hood with his cane (using it as a lever), to get to just one yen coin. Note : the kanji refers to a circular, round object, but also to the Japanese currency (pronounced ""en"")."
入	入: enter, enter radical (no. 11)	enter	Pictograph, see book. * As a primitive, using the image of going through a door, even one that stands alone with the frame and no wall around, helps flesh out the primitive “enter”.	Person enters stage left…
出	山: mountain<br>凵: open box enclosure; open box radical (no. 17)	exit	Suddenly, a cactus comes out of the ground with a sign that reads: exit. Now you can leave the desert! (Note: giving this primitive the meaning ´cactus´ can be useful later).	The exit lays between these two mountains.
立	亠: kettle lid radical (no. 8)	stand up	A vase that can´t stand up won´t be a vase for long.	He was a stand up guy: he´d lend you the top hat he wears everyday if you asked, and he will turn everything upside down to help you find your tools.
休	人: person<br>木: tree; wood	rest	Mr T resting by a tree.	Chuck norris rests againsts the tree, but wait, no... the tree rests and stands against him.
先	八: eight; eight radical (no. 12)	before	I´ve never seen a cow with human legs before!	"Nasty story but it keeps the meaning true to the kanji. ""BEFORE you stick it in a COW and SPREAD the legs (the bottom stroke of this cow looks like two legs) make sure she has HUMAN LEGS""-------------sorry, I´ll remove if I get enough reports, but will keep if I get more stars."
夕	夕: evening,  katakana ta radical (no. 36)	evening	The evening is young, the moon is not full.	"In the evening, I try my best to remember the katakana symbol for ""TA"" (ie. ""ta ta!"")."
本	木: tree; wood	book	The origin of a book is paper made out of TREEs. ONE tree can make many books.	An axe cutting a tree to make books.
文	亠: kettle lid radical (no. 8)<br>乂: mow; cut grass; subdue	sentence	A twist on greenapple: The teacher puts a tophat on all pupils with gramatically correct sentences, while the rest are left with a big red X on their homework.	The teacher in the tophat puts an X on all the grammatically incorrect sentences.
字	宀: shaped crown; katakana u radical (no. 40)<br>子: child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac	character	CHILDren learn Kanji characters underneath a HOUSE.	"Why do I have to wear this roof on my head all the time father? ""Shut up! It builds character!""."
学	小: small, insignificant<br>冖: wa-shaped crown radical (no. 14)<br>子: child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac	study	In the school house there are kids always studying. (BTW, atomiton, this is NOT 字).	Children in schoolhouses are there to study, nothing else!!!
校	木: tree; wood<br>交: mingle; mixing; association; coming & going	exam	With the exam scores posted on a TREE, the students MINGLED around looking at the results. test. 試.	Note: this Kanji does not mean exam. It means school. I find this keyword an choice odd as school by itself is not used elsewhere. Examples: 校長 is principal (lit. school chief); 中学校 is junior high school (lit. middle study/knowledge school).
村	木: tree; wood<br>寸: measurement; foot/10	town	If you´ve ever played an old 8 bit or 16 bit RPG, like Dragon Warrior or Final Fantasy or Inindou, you´ll remember that every town was all bordered off by a line of trees with no space in between to get out through. Imagine that the trees were glued together so you could only exit town through the main or side gates, (so you couldn´t escape the important scripted scenes.).	Pfft. At it´s core, a town is just a bunch of wood glued together. Edit - Stop starring this piece of crap story! xD.
町	田: rice field; rice paddy<br>丁: street; ward; town; counter for guns, tools, leaves or cakes of something; even number; 4th calendar sign	village	Actually this means town, like one that has lots of streets and is surrounded by all the rice fields.	"Getting this one confused with Town is easy, so remember it with this rhyme. ""Pillage the village, for the rice and and the tea."" the street primitive on the right looks like a ´t´."
森	木: tree; wood<br>林: grove; forest	forest	The higher you go up a mountain the less trees there are, that´s so u dont mess up with their possition like i do.	Another tree planted within a grove turns it into a FOREST.
正	一: one; one radical (no.1)<br>止: stop; halt	correct	If you do it correct on the first attempt you can stop.	The correct way of learning Japanese? First, stop everything you´re doing. Then, go pick up a copy of Heisig´s book and work from there.
水	水: water, water radical (no. 85)	water	The kanji for water is an abstract primitive itself, so unless one is willing to break down its etymological development, it should just simply be memorized by strokes; constructing a story is not necessarily useful unless it strongly denotes its shape (I find that Heisig´s story doesn´t do this).	"For those having issues with this* ""A 7K foot pool of water"" Notice it looks like a 7, and a K. Might have to practice writing it a few times."
火	火: fire, fire radical (no. 86)	fire	For some reason, this kanji reminds me of a person running, her arms (the two drops) raised up, because she caught on fire!	A tepee getting shot at by fire arrows.
玉	玉: jewel; ball<br>丶: dot; tick or dot radical (no. 3)	jewel	The king is said to have only one family jewel below the belt...	"The king is said to have only one family jewel below the belt...and he hangs left! (I always screw up the direction of the ""drop"")."
王	玉: jewel; ball	king	To be king you have to be a real crafty one !	The king unites heaven and earth. (imagine heaven being the top line over the soil).
石	口: mouth	stone	Indiana Jones jumps up and grabs the lip of cliff just in time to evade the huge STONE rolling out of the mouth of the cave!	There´s a VERY simple way to remember this, in case the cliff thing isn´t working for you... Just see it as a stone [いし] being hammered by a miner searching for jewel stones [ほうせき] ;).
竹	竹: bamboo, bamboo radical (no. 118)	bamboo	Pandas like to eat bamboo. I´m using panda as the primitive name when it fits the story. ^__^.	Two reclining victims impaled on bamboo spheres...
糸	糸: thread, string, thread radical (no. 120)	thread	I also went with Spiderman. However, in the cases where this primitive appears under other primitives, as opposed to on the left (I think there are ~5 times in this chapter) I´ve opted to use a similar character: Venom. This helps keep the positioning clear, especially on such characters as dainty (#1363) and accumulate (#1364).	You´ll be seeing this one a lot. Seriously.
貝	目: eye; class; look; insight; experience; care; favor	shellfish	Eye thought I saw a shellfish legging it down the beach!	Stare at the shellfish, it looks like an eye with legs.
車	車: cart, car, car radical (no. 159)	car	My car is so fast it can go through ten rice fields in ten minutes.	"Rather than hobbling along with a walking stick to cross through a span, it´s much better to use a car. (Imagine an old man with a walking stick creeping along a span of road, and you, in a car, whizzing right by him. It´s funny ´cause it´s true.) Also, it´s important to include the word ""through,"" so you know the walking stick goes right THROUGH the span."
金	金: metal, gold,  gold radical (no. 167)	gold	The fat king taking up the whole space under the umbrella actually isn´t fat - he just has two big gold bars hidden under his clothes.	"Under the umbrella´s shade, the king sang, "" Drop it to the left, drop it to the right, give me all the GOLD in sight!""."
雨	雨: rain, rain radical (no. 173)	rain	From the ceiling hangs a towel dripping four drops like RAIN.	Towel hung out on a line to ....oops, it´s rain.
赤	土: soil; earth; ground; Turkey	red	He was stabbed with a dagger, and little drops of red blood dropped onto the ground.	There was red all over the soil after Little Red Riding Hood plunged a dagger into the wolf. Those two dots we see are wolfies animal legs we see, by the way (a la smithsonian).
青	月: month; moon	blue	The last time I saw a blue moon was in my youth when I was growing up.	"Once in a blue moon refers to a rare event. But originally ""blue moon"" refers to a full moon, in other words a fully grown-up moon. Whether once a month is rare or not depends on what we´re talking about, but that happens to be the origin of the expression."
白	日: day; sun; Japan; counter for days	white	A white ray is a drop of sun.	Even a small drop (´) of the sun (日) would make you see nothing but white.
数	米: rice; USA; metre<br>女: woman; female<br>攵: strike; hit; folding chair radical variant (no. 66)	number	"Young taskmaster is learning numbers by watching women haul sacks of rice past him. ""One... two... four! No, wrong! Go back, go back!""."	Women toil in the rice fields carrying heavy sacks of rice to be numbered and counted by the taskmaster.
多	夕: evening<br>夕: evening	many	Two evenings too many!	"This reminds me of a childish pseudo-confucion rhyme: ""He who eats many prunes sits on toilet many moons""."
少	小: little; small<br>丿: katakana no radical (no. 4)	few	Only a few people can make an ugly face like that.	Few usually refers to three. To emphasize three, we underline the three drops in little.
万	一: one; one radical (no.1)	ten thousand	I bound ten thousand dollars together and hid it under the floor.	"We have ""one"" at the top and if you turn the kanji 90 degrees you will see arabic 4 shich means it has four zeros in front of it!"
半	丶: dot; tick or dot radical (no. 3)<br>二: two; two radical (no.2)<br>十: ten	half	"Imagine karate chopping the number three in half with a WALKING STICK and pausing the picture just as the first ""board"" breaks."	I think of this as a pictograph, there are three boards to cut, the first one is already in half and there are still two more to go.
形	幵: put together<br>彡: three; hair ornament; short hair or fur radical (no. 59)	shape	Everyone in the kindergarten came up with fun and interesting shapes made out of Play-Doh, except for the kid with the amputated arm. Seems like you really need both hands.	With your two hands, outline the shape of a curvaceous woman. Is that a universally understood gesture? [Careful: mould (#680) which has two hands and soil/clay].
太	大: large; big<br>丶: dot; tick or dot radical (no. 3)	plump	A large person with a big drop of sweat dripping off of him because he is so plump.	"Fat(""plump"") men always have small penises.....the kanji is a combination of ""large"" with a drop(representing the small penis between his legs)."
細	糸: thread<br>田: rice field; rice paddy	dainty	Dainty women would always rather work with thread than in a field.	Spider-Man used to just be a dainty, brainy nerd.
広	广: dotted cliff radical (no. 53)<br>厶: I; myself; katakana mu radical (no. 28)	wide	The Batcave is very wide and has a lot of elbow room for Batman to do his yoga.	"A wide cave has a lot of ""elbow room""."
長	長: long, grow, leader radical (no. 168)	long	The Geisha with long hair uses an ornate lacquered hairpin to bundle it all up.	The top of this one reminds me of the staple primitive. So here´s my story: The girl´s hair was so long that she had to use staples instead of hairpins. It worked, but stapling her hair to her head was kinda painful.
点	占: fortune-telling; divining; forecasting; occupy; hold; have; get; take<br>火: fire	spot	The FORTUNE TELLER was burned by FLAMES on the spot because she was accused of being a witch.	You have to stimulate the G-spot with your magic wand in order to get her on fire. Or you can juste use your mouth...
丸	九: nine<br>丶: dot; tick or dot radical (no. 3)	round	Nine plus a drop rounds it off to ten!	"Watch out for plump (#120). Here Heisig could have added a ""t"" and we would have had a much better keyword : rotund. Rotund is more specific than ""round"" which begs for confusion with circle (#1811). A dictionary search on ""fat"" or ""round"" doesn´t yield this kanji, but ""rotund"" does! Primitive suggestion: the Laughing Buddha is often depicted as a rotund, smiling bald man in robes with a largely exposed pot belly stomach (symbolizing plenitude)."
交	亠: kettle lid radical (no. 8)<br>父: father	mingle	Even though your FATHER is an old man, he can´t give up his party lifestyle. Once a week he still dons his cool TOP HAT (well, it was cool 40 years ago) and goes out on the town to MINGLE with the ladies. This is a pretty common thing in Japan, where old motherfuckers still think they can pick up 19 year old girls.	Darth Vader tries to mingle with his troops. He even weares one of the helmets of the stromtroopers. (one of them laughs: white helmet, black suit. Darth Vader thereby slashes him in 2).
光	小: little; small<br>兀: high & level; lofty; bald; dangerous	ray	A ray of light is not a wave but made of little photons with human legs.	The ray from Honey I Shrunk the Kids made people little - ha! look at them run around on their tiny legs!
角	勹: wrapping enclosure; wrapping radical (no. 20)	angle	A museum display of two walking sticks bound together under a glass canopy, showing the first device used to measure an angle.	The gates have been bound up together leaving no angle to get through...
計	言: say<br>十: ten	plot	A plot is a summary of a book that can be given in ten words.	Say-ten´s (satan´s) evil plot.
直	十: ten<br>目: eye; class; look; insight; experience; care; favor	straightaway	If you get a needle in your eye that is hooked in there, get to a hospital straightaway.	I caught a freaky creature with ten eyes on my fish hook, so I threw it back straightaway.
線	糸: thread<br>泉: spring; fountain	line	This kanji is used for train lines. Spiderman does a hot spring tour of Japan using the train lines. You can see the Spidey costume hanging on the washing line as he enjoys the onsen.	Japan´s train lines are like threads that spring from Tokyo station.
矢	天: heavens; sky; imperial	dart	Zeus ran out of lightning bolts and has to drop darts from the heavens.	Do not mistake with LOSE 失.
弱	弓: bow; bow (archery, violin)<br>冫: two-stroke water radical or ice radical (no. 15)<br>弓: bow; bow (archery, violin)<br>冫: two-stroke water radical or ice radical (no. 15)	weak	Two weak archers agree on a duel to the death. They constantly shoot at each other but never manage to hit their target. But what they lack in skill they make up in determination, and they keep shooting for hours, and days, and months, until it´s wintertime and their bows are coated in ice.	BOWS with ICE on them are brittle and WEAK.
強	弓: bow; bow (archery, violin)<br>厶: I; myself; katakana mu radical (no. 28)<br>虫: insect; bug; temper	strong	An insect who can fly vast distances is strong.	Legolas is so strong that he can even shoot down vast numbers of tiny insects at vast distances with ease.
高	亠: kettle lid radical (no. 8)<br>口: mouth<br>冂: upside-down box radical (no. 13)<br>口: mouth	tall	Two little aliens in a trenchcoat and top hat, trying to look TALL. The bottom one, in the glass helmet, is under the coat. The top one has his top hat pulled down in disguise, so all you can see is his mouth.	Here we have TWO MOUTHS each wearing a different hat. The top one is wearing a TOP HAT which is know to be as a TALL hat. The bottom one is wearing a SPACE HELMET which is known as an EXPENSIVE hat. (this kanji means both).
同	冂: upside-down box radical (no. 13)<br>一: one; one radical (no.1)<br>口: mouth	same	Muslim women wearing veils (HOOD) all look the same, you can just see ONE MOUTH and very little else.	Imagine monks wandering around the monastery. Covered in their hoods and chanting as if with one mouth they all look the same !
親	立: stand up; rise; set up; erect<br>木: tree; wood<br>見: see; hopes; chances; idea; opinion; look at; visible	parent	"A wise parent lets their kids learn. A kid wants to try to eat the red pepper plant, the wise parent says ""Try it and see for yourself""."	I remember this one the way the Japanese do: a parent standing on top of a tree watching what his or her kid is doing.
母	毋: do not; must not; be not; mother radical (no. 80)	mama	The two breasts of a momma who breastfeeds.	This mama had twins, one mouth for each nipple.
父	父: father, father radical (no. 88)	father	Luke, I am your father. Darth Vader (really surprised nobody put this one up before: 2 laserswords).	Not to confuse anyone, but I think if you put your mind to it, you can see the image of a father here. The first two strokes take on the form of his eye brows, and the third and fourth stroke make up the nose and mustache.
姉	女: woman; female<br>市: market; city; town	elder sister	Unlike the younger sister (妹), who is not yet old enough to date... the elder sister is on the market!	She´s old enough to be allowed to go to the market.
兄	口: mouth<br>八: eight; eight radical (no. 12)	elder brother	My elder brother was basically a mouth on legs when he was a teenager.	Mother, why is elder brother´s mouth between the neighbor girl´s legs?
弟	八: eight; eight radical (no. 12)<br>弔: condolences; mourning; funeral<br>丿: katakana no radical (no. 4)	younger brother	Younger brothers are always more prone to mischief. Mine, you can almost see the little horns on him and the dollar signs on his eyes when he comes up with a money-making scheme.	The younger brother was a horny dollar -chasing bastard.
妹	女: woman; female<br>未: un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac	younger sister	My younger sister is NOT YET a fully grown WOMAN.	Is your younger sister a woman? Not yet! Damn!
自	目: eye; class; look; insight; experience; care; favor	oneself	Faced with his clone, our hero valiantly cut a mark on his forehead right above his eye so that his comrades could tell his true oneself from the enemy.	To use an eyedropper by oneself, aim from above to put a drop into the eye.
友	又: or again; furthermore; on the other hand	friend	A good friend is always at your side. ---- I teach at a Japanese High School, and I often see chummy male students grabbing each other´s crotches in a joking manner. It´s still weird to me, but apparently reaching to your side and grabbing you neighbor´s crotch is a great way to express friendship.	Think of a sex friend (a fuck buddy if you will). The benefit of such a relationship is that there will always be a crotch by your side. (the Japanese refer to such a friend as セフレ, just as we do).
体	人: person<br>本: book; present; main; origin; true; real; counter for long cylindrical things	body	Mister T works out his body (body-building), using two piles of books (i.e. an exercise that can be done at home with two chairs, similar to push-ups but working mostly the shoulders, trapezius and triceps).	Mr. T works out his body then rips a book apart to test is body. His favorite to destroy is Dianetics.
毛	毛: fur, hair, fur radical (no. 82)	fur	I´ve heard of people having hair on the back of their hands, but this is ridiculous! That´s not hair, that´s fur!	Be careful not to pet a cat the wrong way - most cats don´t like you rubbing your hand backwards over their fur.
頭	豆: beans; pea; midget<br>頁: page; leaf	head	The head of the family sits at the head of the table.	Mr Bean´s head.
顔	彦: lad; boy (ancient)<br>頁: page; leaf	face	A lad's head still has a baby's face.	When I was a lad, a pretty face was all it took for someone to get in my head, and I´d fill pages of lovelorn letters to them.
首	自: oneself	neck	The V shape is your neck on top of your collar bone, or the straight line. Yourself, or the rest of your body is below that!	The mooses neck supports it´s big horns and long nose.
心	心: heart, heart radical (no. 61)	heart	"The four chambers in the heart. In the West, we point to our head when asked about the mind. In the East, they point to the heart. So then, the radical for ""state of mind""…"	Heart needs three drops of blood to work.
時	日: day; sun; Japan; counter for days<br>寺: Buddhist temple	time	When the SUN starts to shine on the TEMPLE, it´s time to get up.	In ancient Japan, TIME of ´´day´´ was announced at the ´´buddhist temples´´. They did this by ringing large iron bells. This is similar to churches who ring their bells to announce the time of day.
曜	日: day; sun; Japan; counter for days<br>羽: feathers; counter for birds, rabbits<br>隹: bird; old bird radical (no. 172)	weekday	"Tip: feathers + turkey : This combination of primitives appears six times in Heisig, so it´s worthwhile giving it a name. I suggest ""futon"" (your futon is made from turkey feathers). REF: weekday (FRAME 576) , laundry (#577), leap (#1285), outstanding (#2272), twinkle (#2534), shimmering (#2880). Story: On weekdays you hang your futon out in the sun."	The poor farmer spends every weekday while the sun shines, plucking turkey feathers.
朝	十: ten<br>早: early; fast<br>肉: meat	morning	There is mist as the moon fades away in the morning.	"Morning has come ""ten"" hours ""early""!!! The ""moon"" is still in the sky!"
昼	尺: shaku; Japanese foot; measure; scale; rule<br>旦: daybreak; dawn; morning	daytime	Roosters in Japan are very civilised, they play the shakuhachi at nightbreak to signify the beginning of daytime.	In a Zelda game, you can warp to the daytime if you play your shakuhachi to bring about nightbreak... or your ocarina if you don´t have a shakuhachi.
夜	亠: kettle lid radical (no. 8)<br>人: person<br>夕: evening	night	"Actually, the lower-right primitive isn´t quite ""walking legs."" It´s a little more like ""evening"" with an extra stroke across it (look up the stroke order). So, it helps me to see this kanji for night as: evening plus an extra stroke representing the tuxedo tails to match the top hat which my special person is wearing out on the town..."	Here we have Mister T sleepwalking, wearing a top hat as if he was the ambassador of the night, walking, and walking and walking on his tired walking legs, until he drops (back into his bed).
分	八: eight; eight radical (no. 12)<br>刀: sword; saber; knife	part	When something is entered by a dagger, it ends up being cut in several parts.	"(This kanji also has the meanings of ""understand"" and ""minute""). It´s important to understand that were you to enter an hour with a dagger and cut it into parts, those parts would be minutes."
週	周: circumference; circuit; lap<br>辶: walk; walking; road radical variant (no. 162)	week	Imagine a road built so well that it takes only a week to travel the circumference of the earth.	Actually the week is like a never ending road where we travel in a circle through the same seven days again and again, the circumference is always the same. circumference (#317) also means circuit or lap, so that also makes think about the rotations of the moon, sun and the earth -- all important for measuring all kinds of time periods.
春	三: three<br>大: large; big<br>日: day; sun; Japan; counter for days	springtime	In the springtime bonsai get plenty of sun.	When it´s springtime you can only leave the bonsai out when the sun has gone down. Their little leaves can´t handle too much heat.
夏	一: one; one radical (no.1)<br>自: oneself<br>夂: winter radical (no. 34)	summer	In SUMMER you are hot from the top of your head down to your walking legs.	I personally think it was too confusing to try and use head as the primitive. (How am I supposed to remember that the animal legs are replaced with walking legs instead of human legs?) Rather, I think have the image of a hot summer and you want to keep oneself under a ceiling not out jogging around.
秋	禾: 2-branch tree radical (no. 115)<br>火: fire	autumn	In AUTUMN, the WHEAT looks the color of FIRE, meaning it´s time to harvest it.	Every autumn the wheat is set on fire to clear the way for next year´s crop...
